NOT_ID,POLL_TYPE,POLLUTANT
138126,Contaminated Water,Suspended Solids
237812,Contaminated Water,Suspended Solids
252545,Contaminated Water,Suspended Solids
304250,Contaminated Water,Suspended Solids
350683,Contaminated Water,Suspended Solids
371004,Contaminated Water,Suspended Solids
397141,Contaminated Water,Suspended Solids
471839,Contaminated Water,Suspended Solids
487530,Contaminated Water,Suspended Solids
530479,Contaminated Water,Suspended Solids
547789,Contaminated Water,Suspended Solids
824819,Contaminated Water,Suspended Solids
827246,Contaminated Water,Suspended Solids
958899,Contaminated Water,Suspended Solids
32283,Contaminated Water,Suspended Solids
63713,Contaminated Water,Suspended Solids
104379,Contaminated Water,Suspended Solids
140131,Contaminated Water,Suspended Solids
528778,Contaminated Water,Suspended Solids
637677,Contaminated Water,Suspended Solids
770609,Contaminated Water,Suspended Solids
826988,Contaminated Water,Suspended Solids
1021825,Contaminated Water,Suspended Solids
26027,Contaminated Water,Suspended Solids
52029,Contaminated Water,Suspended Solids
100211,Contaminated Water,Suspended Solids
203833,Contaminated Water,Suspended Solids
267238,Contaminated Water,Suspended Solids
351559,Contaminated Water,Suspended Solids
365244,Contaminated Water,Suspended Solids
443013,Contaminated Water,Suspended Solids
449901,Contaminated Water,Suspended Solids
482590,Contaminated Water,Suspended Solids
484437,Contaminated Water,Suspended Solids
506247,Contaminated Water,Suspended Solids
585242,Contaminated Water,Suspended Solids
604953,Contaminated Water,Suspended Solids
627650,Contaminated Water,Suspended Solids
715175,Contaminated Water,Suspended Solids
898949,Contaminated Water,Suspended Solids
65133,Contaminated Water,Suspended Solids
101780,Contaminated Water,Suspended Solids
140053,Contaminated Water,Suspended Solids
146258,Contaminated Water,Suspended Solids
160409,Contaminated Water,Suspended Solids
224724,Contaminated Water,Suspended Solids
265918,Contaminated Water,Suspended Solids
268129,Contaminated Water,Suspended Solids
310845,Contaminated Water,Suspended Solids
398446,Contaminated Water,Suspended Solids
382223,Contaminated Water,Suspended Solids
525702,Contaminated Water,Suspended Solids
889018,Contaminated Water,Suspended Solids
951057,Contaminated Water,Suspended Solids
88213,Contaminated Water,Suspended Solids
124197,Contaminated Water,Suspended Solids
204915,Contaminated Water,Suspended Solids
282101,Contaminated Water,Suspended Solids
283287,Contaminated Water,Suspended Solids
320650,Contaminated Water,Suspended Solids
454198,Contaminated Water,Suspended Solids
581050,Contaminated Water,Suspended Solids
611891,Contaminated Water,Suspended Solids
169673,Contaminated Water,Landfill Leachate
157537,Contaminated Water,Landfill Leachate
369623,Contaminated Water,Minewater
552390,Contaminated Water,Minewater
147572,Contaminated Water,Minewater
529138,Contaminated Water,Minewater
137021,Contaminated Water,Minewater
280870,Contaminated Water,Minewater
406262,Contaminated Water,Minewater
30704,Contaminated Water,Minewater
117623,Contaminated Water,Minewater
559219,Contaminated Water,Minewater
143962,Contaminated Water,Minewater
862535,Contaminated Water,Minewater
952194,Contaminated Water,Minewater
472015,Contaminated Water,Minewater
752401,Contaminated Water,Minewater
413065,Contaminated Water,Minewater
670167,Contaminated Water,Minewater
817484,Contaminated Water,Minewater
132841,Contaminated Water,Minewater
217777,Contaminated Water,Minewater
1045063,Contaminated Water,Minewater
378750,Contaminated Water,Minewater
964896,Contaminated Water,Minewater
405449,Contaminated Water,Minewater
48655,Contaminated Water,Minewater
246675,Contaminated Water,Minewater
365165,Contaminated Water,Minewater
681364,Contaminated Water,Minewater
824879,Contaminated Water,Minewater
843453,Contaminated Water,Minewater
186932,Contaminated Water,Chemically Contaminated Run-Off
388621,Contaminated Water,Chemically Contaminated Run-Off
27809,Contaminated Water,Chemically Contaminated Run-Off
59901,Contaminated Water,Chemically Contaminated Run-Off
343613,Contaminated Water,Chemically Contaminated Run-Off
369719,Contaminated Water,Chemically Contaminated Run-Off
391662,Contaminated Water,Chemically Contaminated Run-Off
490153,Contaminated Water,Chemically Contaminated Run-Off
789529,Contaminated Water,Chemically Contaminated Run-Off
191121,Contaminated Water,Chemically Contaminated Run-Off
197796,Contaminated Water,Chemically Contaminated Run-Off
354477,Contaminated Water,Chemically Contaminated Run-Off
666851,Contaminated Water,Chemically Contaminated Run-Off
772630,Contaminated Water,Chemically Contaminated Run-Off
5451,Contaminated Water,Chemically Contaminated Run-Off
53563,Contaminated Water,Chemically Contaminated Run-Off
709744,Contaminated Water,Firefighting Run-Off
721317,Contaminated Water,Firefighting Run-Off
737592,Contaminated Water,Firefighting Run-Off
772351,Contaminated Water,Firefighting Run-Off
881132,Contaminated Water,Firefighting Run-Off
925742,Contaminated Water,Firefighting Run-Off
10740,Contaminated Water,Firefighting Run-Off
69203,Contaminated Water,Firefighting Run-Off
69338,Contaminated Water,Firefighting Run-Off
180133,Contaminated Water,Firefighting Run-Off
349546,Contaminated Water,Firefighting Run-Off
488492,Contaminated Water,Firefighting Run-Off
497621,Contaminated Water,Firefighting Run-Off
544563,Contaminated Water,Firefighting Run-Off
605888,Contaminated Water,Firefighting Run-Off
681442,Contaminated Water,Firefighting Run-Off
845753,Contaminated Water,Firefighting Run-Off
882877,Contaminated Water,Firefighting Run-Off
900189,Contaminated Water,Firefighting Run-Off
911661,Contaminated Water,Firefighting Run-Off
1037819,Contaminated Water,Firefighting Run-Off
125460,Contaminated Water,Firefighting Run-Off
140469,Contaminated Water,Firefighting Run-Off
151800,Contaminated Water,Firefighting Run-Off
211142,Contaminated Water,Firefighting Run-Off
322027,Contaminated Water,Firefighting Run-Off
347141,Contaminated Water,Firefighting Run-Off
396431,Contaminated Water,Firefighting Run-Off
433407,Contaminated Water,Firefighting Run-Off
509647,Contaminated Water,Firefighting Run-Off
528127,Contaminated Water,Firefighting Run-Off
679565,Contaminated Water,Firefighting Run-Off
770297,Contaminated Water,Firefighting Run-Off
912076,Contaminated Water,Firefighting Run-Off
27549,Contaminated Water,Firefighting Run-Off
36491,Contaminated Water,Firefighting Run-Off
197324,Contaminated Water,Firefighting Run-Off
198856,Contaminated Water,Firefighting Run-Off
291591,Contaminated Water,Firefighting Run-Off
321345,Contaminated Water,Firefighting Run-Off
341149,Contaminated Water,Firefighting Run-Off
404115,Contaminated Water,Firefighting Run-Off
416028,Contaminated Water,Firefighting Run-Off
84553,Contaminated Water,Firefighting Run-Off
190766,Contaminated Water,Firefighting Run-Off
531144,Contaminated Water,Firefighting Run-Off
551339,Contaminated Water,Firefighting Run-Off
584829,Contaminated Water,Firefighting Run-Off
664863,Contaminated Water,Firefighting Run-Off
670312,Contaminated Water,Firefighting Run-Off
916699,Contaminated Water,Firefighting Run-Off
5643,Contaminated Water,Firefighting Run-Off
14549,Contaminated Water,Firefighting Run-Off
29215,Contaminated Water,Firefighting Run-Off
146058,Contaminated Water,Firefighting Run-Off
154249,Contaminated Water,Firefighting Run-Off
180814,Contaminated Water,Firefighting Run-Off
286177,Contaminated Water,Firefighting Run-Off
365523,Contaminated Water,Firefighting Run-Off
366042,Contaminated Water,Firefighting Run-Off
575329,Contaminated Water,Firefighting Run-Off
597701,Contaminated Water,Firefighting Run-Off
720003,Contaminated Water,Firefighting Run-Off
752704,Contaminated Water,Firefighting Run-Off
826615,Contaminated Water,Firefighting Run-Off
876082,Contaminated Water,Firefighting Run-Off
917599,Contaminated Water,Firefighting Run-Off
981637,Contaminated Water,Firefighting Run-Off
1032946,Contaminated Water,Firefighting Run-Off
47367,Contaminated Water,Firefighting Run-Off
238886,Contaminated Water,Firefighting Run-Off
365351,Contaminated Water,Firefighting Run-Off
388796,Contaminated Water,Firefighting Run-Off
460711,Contaminated Water,Firefighting Run-Off
490574,Contaminated Water,Firefighting Run-Off
513583,Contaminated Water,Firefighting Run-Off
531715,Contaminated Water,Firefighting Run-Off
655637,Contaminated Water,Firefighting Run-Off
663536,Contaminated Water,Firefighting Run-Off
724667,Contaminated Water,Firefighting Run-Off
779651,Contaminated Water,Firefighting Run-Off
795010,Contaminated Water,Firefighting Run-Off
4719,Contaminated Water,Firefighting Run-Off
9372,Contaminated Water,Firefighting Run-Off
56875,Contaminated Water,Firefighting Run-Off
115565,Contaminated Water,Firefighting Run-Off
237735,Contaminated Water,Other Contaminated Water
342032,Contaminated Water,Other Contaminated Water
513597,Contaminated Water,Other Contaminated Water
853011,Contaminated Water,Other Contaminated Water
892327,Contaminated Water,Other Contaminated Water
15767,Contaminated Water,Other Contaminated Water
152032,Contaminated Water,Other Contaminated Water
410780,Contaminated Water,Other Contaminated Water
594285,Contaminated Water,Other Contaminated Water
595303,Contaminated Water,Other Contaminated Water
894223,Contaminated Water,Other Contaminated Water
966441,Contaminated Water,Other Contaminated Water
981504,Contaminated Water,Other Contaminated Water
40220,Contaminated Water,Other Contaminated Water
144021,Contaminated Water,Other Contaminated Water
154393,Contaminated Water,Other Contaminated Water
241727,Contaminated Water,Other Contaminated Water
550184,Contaminated Water,Other Contaminated Water
772191,Contaminated Water,Other Contaminated Water
872746,Contaminated Water,Other Contaminated Water
898568,Contaminated Water,Other Contaminated Water
1044251,Contaminated Water,Other Contaminated Water
10200,Contaminated Water,Other Contaminated Water
183463,Contaminated Water,Other Contaminated Water
345103,Contaminated Water,Other Contaminated Water
376038,Contaminated Water,Other Contaminated Water
608513,Contaminated Water,Other Contaminated Water
624293,Contaminated Water,Other Contaminated Water
73534,Contaminated Water,Other Contaminated Water
105617,Contaminated Water,Other Contaminated Water
248480,Contaminated Water,Other Contaminated Water
334471,Contaminated Water,Other Contaminated Water
461546,Contaminated Water,Other Contaminated Water
552282,Contaminated Water,Other Contaminated Water
655814,Contaminated Water,Other Contaminated Water
8317,Contaminated Water,Other Contaminated Water
281079,Contaminated Water,Other Contaminated Water
320704,Contaminated Water,Other Contaminated Water
335480,Contaminated Water,Other Contaminated Water
339106,Contaminated Water,Other Contaminated Water
233660,Contaminated Water,Other Contaminated Water
235264,Contaminated Water,Other Contaminated Water
239837,Contaminated Water,Other Contaminated Water
368328,Contaminated Water,Other Contaminated Water
409182,Contaminated Water,Other Contaminated Water
502489,Contaminated Water,Other Contaminated Water
560414,Contaminated Water,Other Contaminated Water
712854,Contaminated Water,Other Contaminated Water
915483,Contaminated Water,Other Contaminated Water
930366,Contaminated Water,Other Contaminated Water
932921,Contaminated Water,Other Contaminated Water
1020890,Contaminated Water,Other Contaminated Water
102615,Contaminated Water,Other Contaminated Water
216123,Contaminated Water,Other Contaminated Water
234990,Contaminated Water,Other Contaminated Water
260832,Contaminated Water,Other Contaminated Water
309577,Contaminated Water,Other Contaminated Water
353051,Contaminated Water,Other Contaminated Water
563817,Contaminated Water,Other Contaminated Water
645144,Contaminated Water,Other Contaminated Water
754065,Contaminated Water,Other Contaminated Water
886333,Contaminated Water,Other Contaminated Water
20150,Contaminated Water,Suspended Solids
66992,Contaminated Water,Suspended Solids
72483,Contaminated Water,Suspended Solids
81135,Contaminated Water,Suspended Solids
87317,Contaminated Water,Suspended Solids
92425,Contaminated Water,Suspended Solids
139848,Contaminated Water,Suspended Solids
169256,Contaminated Water,Suspended Solids
164804,Contaminated Water,Suspended Solids
209285,Contaminated Water,Suspended Solids
212836,Contaminated Water,Suspended Solids
242953,Contaminated Water,Suspended Solids
248283,Contaminated Water,Suspended Solids
275113,Contaminated Water,Suspended Solids
335365,Contaminated Water,Suspended Solids
351549,Contaminated Water,Suspended Solids
353674,Contaminated Water,Suspended Solids
378897,Contaminated Water,Suspended Solids
381613,Contaminated Water,Suspended Solids
403139,Contaminated Water,Suspended Solids
432152,Contaminated Water,Suspended Solids
34419,Contaminated Water,Suspended Solids
70561,Contaminated Water,Suspended Solids
84966,Contaminated Water,Suspended Solids
87582,Contaminated Water,Suspended Solids
113981,Contaminated Water,Suspended Solids
179172,Contaminated Water,Suspended Solids
208727,Contaminated Water,Suspended Solids
209584,Contaminated Water,Suspended Solids
217895,Contaminated Water,Suspended Solids
222526,Contaminated Water,Suspended Solids
242645,Contaminated Water,Suspended Solids
271150,Contaminated Water,Suspended Solids
377847,Contaminated Water,Suspended Solids
442748,Contaminated Water,Suspended Solids
446799,Contaminated Water,Suspended Solids
482276,Contaminated Water,Suspended Solids
495914,Contaminated Water,Suspended Solids
500415,Contaminated Water,Suspended Solids
582981,Contaminated Water,Suspended Solids
690206,Contaminated Water,Suspended Solids
1025041,Contaminated Water,Suspended Solids
14348,Contaminated Water,Suspended Solids
28819,Contaminated Water,Suspended Solids
61763,Contaminated Water,Suspended Solids
62100,Contaminated Water,Suspended Solids
139586,Contaminated Water,Suspended Solids
200082,Contaminated Water,Suspended Solids
224806,Contaminated Water,Suspended Solids
253469,Contaminated Water,Suspended Solids
313131,Contaminated Water,Suspended Solids
317503,Contaminated Water,Suspended Solids
388257,Contaminated Water,Suspended Solids
460154,Contaminated Water,Suspended Solids
527347,Contaminated Water,Suspended Solids
551809,Contaminated Water,Suspended Solids
570767,Contaminated Water,Suspended Solids
602093,Contaminated Water,Suspended Solids
864736,Contaminated Water,Suspended Solids
927581,Contaminated Water,Suspended Solids
962294,Contaminated Water,Suspended Solids
51193,Contaminated Water,Suspended Solids
126509,Contaminated Water,Suspended Solids
291129,Contaminated Water,Suspended Solids
361414,Contaminated Water,Suspended Solids
410574,Contaminated Water,Suspended Solids
454471,Contaminated Water,Suspended Solids
454632,Contaminated Water,Suspended Solids
479426,Contaminated Water,Suspended Solids
147237,Contaminated Water,Suspended Solids
190662,Contaminated Water,Suspended Solids
231283,Contaminated Water,Suspended Solids
443456,Contaminated Water,Suspended Solids
735717,Contaminated Water,Suspended Solids
11732,Contaminated Water,Suspended Solids
33679,Contaminated Water,Suspended Solids
53041,Contaminated Water,Suspended Solids
64212,Contaminated Water,Suspended Solids
100280,Contaminated Water,Suspended Solids
104317,Contaminated Water,Suspended Solids
132640,Contaminated Water,Suspended Solids
161921,Contaminated Water,Suspended Solids
274141,Contaminated Water,Suspended Solids
407769,Contaminated Water,Suspended Solids
530436,Contaminated Water,Suspended Solids
608998,Contaminated Water,Suspended Solids
894119,Contaminated Water,Suspended Solids
970254,Contaminated Water,Suspended Solids
7111,Contaminated Water,Suspended Solids
44541,Contaminated Water,Suspended Solids
154801,Contaminated Water,Suspended Solids
161381,Contaminated Water,Suspended Solids
200134,Contaminated Water,Suspended Solids
246497,Contaminated Water,Suspended Solids
290838,Contaminated Water,Suspended Solids
374187,Contaminated Water,Suspended Solids
413175,Contaminated Water,Suspended Solids
566024,Contaminated Water,Suspended Solids
696976,Contaminated Water,Suspended Solids
967438,Contaminated Water,Suspended Solids
997111,Contaminated Water,Suspended Solids
13595,Contaminated Water,Suspended Solids
29187,Contaminated Water,Suspended Solids
48569,Contaminated Water,Suspended Solids
55047,Contaminated Water,Suspended Solids
93871,Contaminated Water,Suspended Solids
116684,Contaminated Water,Suspended Solids
141498,Contaminated Water,Suspended Solids
205023,Contaminated Water,Suspended Solids
259799,Contaminated Water,Suspended Solids
339794,Contaminated Water,Suspended Solids
404677,Contaminated Water,Suspended Solids
405667,Contaminated Water,Suspended Solids
442237,Contaminated Water,Suspended Solids
449279,Contaminated Water,Suspended Solids
489325,Contaminated Water,Suspended Solids
494526,Contaminated Water,Suspended Solids
142803,Contaminated Water,Landfill Leachate
200377,Contaminated Water,Landfill Leachate
215352,Contaminated Water,Landfill Leachate
459932,Contaminated Water,Landfill Leachate
297028,Contaminated Water,Landfill Leachate
828302,Contaminated Water,Landfill Leachate
882314,Contaminated Water,Landfill Leachate
220428,Contaminated Water,Landfill Leachate
469849,Contaminated Water,Landfill Leachate
817467,Contaminated Water,Landfill Leachate
443566,Contaminated Water,Landfill Leachate
469690,Contaminated Water,Landfill Leachate
14720,Contaminated Water,Landfill Leachate
214882,Contaminated Water,Landfill Leachate
403285,Contaminated Water,Landfill Leachate
405864,Contaminated Water,Landfill Leachate
454649,Contaminated Water,Landfill Leachate
505586,Contaminated Water,Landfill Leachate
768666,Contaminated Water,Landfill Leachate
12295,Contaminated Water,Backwash Effluent
447600,Contaminated Water,Backwash Effluent
216554,Contaminated Water,Backwash Effluent
321524,Contaminated Water,Backwash Effluent
369461,Contaminated Water,Backwash Effluent
811020,Contaminated Water,Backwash Effluent
113756,Contaminated Water,Vehicle and Plant Washings
488795,Contaminated Water,Vehicle and Plant Washings
6217,Contaminated Water,Vehicle and Plant Washings
607402,Contaminated Water,Vehicle and Plant Washings
749312,Contaminated Water,Vehicle and Plant Washings
131238,Contaminated Water,Vehicle and Plant Washings
145309,Contaminated Water,Vehicle and Plant Washings
216905,Contaminated Water,Vehicle and Plant Washings
189464,Contaminated Water,Vehicle and Plant Washings
28783,Contaminated Water,Minewater
280839,Contaminated Water,Minewater
319116,Contaminated Water,Minewater
457972,Contaminated Water,Minewater
496381,Contaminated Water,Minewater
714998,Contaminated Water,Minewater
70212,Contaminated Water,Minewater
178318,Contaminated Water,Minewater
287103,Contaminated Water,Minewater
372283,Contaminated Water,Minewater
373654,Contaminated Water,Minewater
1033407,Contaminated Water,Minewater
149057,Contaminated Water,Minewater
154249,Contaminated Water,Chemically Contaminated Run-Off
240445,Contaminated Water,Chemically Contaminated Run-Off
275305,Contaminated Water,Chemically Contaminated Run-Off
100582,Contaminated Water,Chemically Contaminated Run-Off
266524,Contaminated Water,Chemically Contaminated Run-Off
345252,Contaminated Water,Chemically Contaminated Run-Off
812017,Contaminated Water,Chemically Contaminated Run-Off
91569,Contaminated Water,Chemically Contaminated Run-Off
160208,Contaminated Water,Chemically Contaminated Run-Off
715724,Contaminated Water,Chemically Contaminated Run-Off
5379,Contaminated Water,Firefighting Run-Off
20150,Contaminated Water,Firefighting Run-Off
29638,Contaminated Water,Firefighting Run-Off
40195,Contaminated Water,Firefighting Run-Off
45500,Contaminated Water,Firefighting Run-Off
69050,Contaminated Water,Firefighting Run-Off
73444,Contaminated Water,Firefighting Run-Off
92196,Contaminated Water,Firefighting Run-Off
90917,Contaminated Water,Firefighting Run-Off
104032,Contaminated Water,Firefighting Run-Off
109136,Contaminated Water,Firefighting Run-Off
115761,Contaminated Water,Firefighting Run-Off
126527,Contaminated Water,Firefighting Run-Off
150165,Contaminated Water,Firefighting Run-Off
151146,Contaminated Water,Firefighting Run-Off
178077,Contaminated Water,Firefighting Run-Off
182452,Contaminated Water,Firefighting Run-Off
214094,Contaminated Water,Firefighting Run-Off
243463,Contaminated Water,Firefighting Run-Off
267326,Contaminated Water,Firefighting Run-Off
277551,Contaminated Water,Firefighting Run-Off
295076,Contaminated Water,Firefighting Run-Off
298924,Contaminated Water,Firefighting Run-Off
348693,Contaminated Water,Firefighting Run-Off
464579,Contaminated Water,Firefighting Run-Off
488879,Contaminated Water,Firefighting Run-Off
607455,Contaminated Water,Firefighting Run-Off
643966,Contaminated Water,Firefighting Run-Off
678455,Contaminated Water,Firefighting Run-Off
678758,Contaminated Water,Firefighting Run-Off
685713,Contaminated Water,Firefighting Run-Off
1025041,Contaminated Water,Firefighting Run-Off
11078,Contaminated Water,Firefighting Run-Off
69620,Contaminated Water,Firefighting Run-Off
70930,Contaminated Water,Firefighting Run-Off
147184,Contaminated Water,Firefighting Run-Off
409296,Contaminated Water,Firefighting Run-Off
492942,Contaminated Water,Firefighting Run-Off
551652,Contaminated Water,Firefighting Run-Off
605515,Contaminated Water,Firefighting Run-Off
688584,Contaminated Water,Firefighting Run-Off
814393,Contaminated Water,Firefighting Run-Off
881264,Contaminated Water,Firefighting Run-Off
931205,Contaminated Water,Firefighting Run-Off
12149,Contaminated Water,Firefighting Run-Off
16052,Contaminated Water,Firefighting Run-Off
32967,Contaminated Water,Firefighting Run-Off
39939,Contaminated Water,Firefighting Run-Off
78259,Contaminated Water,Firefighting Run-Off
95546,Contaminated Water,Firefighting Run-Off
115579,Contaminated Water,Firefighting Run-Off
137713,Contaminated Water,Firefighting Run-Off
181472,Contaminated Water,Firefighting Run-Off
192560,Contaminated Water,Firefighting Run-Off
494883,Contaminated Water,Firefighting Run-Off
513478,Contaminated Water,Firefighting Run-Off
531743,Contaminated Water,Firefighting Run-Off
553940,Contaminated Water,Firefighting Run-Off
623679,Contaminated Water,Firefighting Run-Off
624066,Contaminated Water,Firefighting Run-Off
922732,Contaminated Water,Firefighting Run-Off
587,Contaminated Water,Firefighting Run-Off
29637,Contaminated Water,Firefighting Run-Off
31292,Contaminated Water,Firefighting Run-Off
54153,Contaminated Water,Firefighting Run-Off
71920,Contaminated Water,Firefighting Run-Off
78176,Contaminated Water,Firefighting Run-Off
79819,Contaminated Water,Firefighting Run-Off
148946,Contaminated Water,Firefighting Run-Off
152313,Contaminated Water,Firefighting Run-Off
187322,Contaminated Water,Firefighting Run-Off
894512,Contaminated Water,Firefighting Run-Off
7994,Contaminated Water,Firefighting Run-Off
40192,Contaminated Water,Firefighting Run-Off
225514,Contaminated Water,Firefighting Run-Off
360261,Contaminated Water,Firefighting Run-Off
387794,Contaminated Water,Firefighting Run-Off
419997,Contaminated Water,Firefighting Run-Off
481952,Contaminated Water,Firefighting Run-Off
500055,Contaminated Water,Firefighting Run-Off
547916,Contaminated Water,Firefighting Run-Off
926320,Contaminated Water,Firefighting Run-Off
79697,Contaminated Water,Firefighting Run-Off
82153,Contaminated Water,Firefighting Run-Off
91569,Contaminated Water,Firefighting Run-Off
99963,Contaminated Water,Firefighting Run-Off
102982,Contaminated Water,Firefighting Run-Off
151803,Contaminated Water,Firefighting Run-Off
165442,Contaminated Water,Firefighting Run-Off
245796,Contaminated Water,Firefighting Run-Off
302903,Contaminated Water,Firefighting Run-Off
320083,Contaminated Water,Firefighting Run-Off
